Training log for model saved in: ./outputs_CKplus_cropped_adaptiveP
Best validation accuracy: 94.8980
epoch,train_loss,val_loss,train_acc,val_acc,alpha,tau,alive_hard,guards,epoch_time_sec
1,1.8815714875046088,1.9424140453338623,30.48469387755102,21.428571428571427,1.5,3.0,0.2316453903913498,0,1.815704107284546
2,1.7548382306585506,2.526691504887172,39.923469387755105,21.428571428571427,1.4999857307968705,2.99997770437011,0.2314265271027883,0,0.8547191619873047
3,1.5936854274905459,3.2397799491882324,46.93877551020408,19.387755102040817,1.4999429237530661,2.9999108183641656,0.2295412172873815,0,0.8637256622314453
4,1.5248149487437035,3.5181661333356584,50.0,22.448979591836736,1.4998715805653158,2.9997993446333058,0.2305568406979243,0,0.8635168075561523
5,1.444409180660637,3.6615825380597795,51.91326530612245,21.428571428571427,1.499771704061426,2.999643287595978,0.2312409778436025,0,0.877985954284668
6,1.3893491491979482,3.9814919403621127,54.20918367346939,21.428571428571427,1.4996432982001695,2.999442653437765,0.23141489923000336,0,0.8578262329101562
7,1.3480122867895632,3.1291872433253696,55.61224489795919,28.571428571428573,1.4994863680711275,2.9991974501111365,0.23214822014172873,0,0.8504469394683838
8,1.2745349966749853,3.114406108856201,58.80102040816327,21.428571428571427,1.4993009198944889,2.9989076873351386,0.22996393342812857,0,0.8682708740234375
9,1.234020577401531,3.2553540638514926,60.33163265306123,21.428571428571427,1.4990869610208026,2.9985733765950044,0.22996447483698526,0,0.8585336208343506
10,1.2554129787853785,3.340939964566912,56.37755102040816,21.428571428571427,1.4988444999306874,2.998194531141699,0.22968684136867523,0,0.8033874034881592
11,1.1411751508712769,2.9190547125680104,63.01020408163265,18.367346938775512,1.4985735462344942,2.9977711659913973,0.23067162930965424,0,0.8579893112182617
12,1.0465153200285775,2.7022683961050853,67.47448979591837,35.714285714285715,1.4982741106719273,2.9973032979248866,0.22886264324188232,0,0.8689365386962891
13,1.074529166124305,3.2205125263759067,64.79591836734694,18.367346938775512,1.4979462051116164,2.9967909454869006,0.23106053471565247,0,0.8622481822967529
14,1.0876406492019186,2.8432446207318987,64.15816326530613,18.367346938775512,1.4975898425506482,2.996234128985388,0.22938007613023123,0,0.857280969619751
15,1.0023778883778318,2.3279244559151784,69.26020408163265,34.69387755102041,1.4972050371140495,2.9956328704907023,0.23202048738797507,0,0.8552637100219727
16,0.9557294273863033,1.9626516784940446,70.66326530612245,41.83673469387755,1.4967918040542287,2.9949871938347323,0.23295215765635172,0,0.8495674133300781
17,0.9169949791869338,1.7948242596217565,71.5561224489796,23.46938775510204,1.4963501597503703,2.9942971246099535,0.22913685937722525,0,0.8577980995178223
18,0.878578746197175,2.1785889182771956,75.0,13.26530612244898,1.4958801217077862,2.9935626901684156,0.2355890174706777,0,0.8361122608184814
