Per-epoch status lines (alpha/tau/alive_hard/guards/time):
Epoch 59: Current Alpha: 1.4525, Tau: 2.9258, Alive(hard): 0.265, guards=0, time=0.86s
Epoch 60: Current Alpha: 1.4509, Tau: 2.9233, Alive(hard): 0.266, guards=0, time=0.85s
Epoch 61: Current Alpha: 1.4492, Tau: 2.9207, Alive(hard): 0.267, guards=0, time=0.85s
Epoch 62: Current Alpha: 1.4476, Tau: 2.9181, Alive(hard): 0.265, guards=0, time=0.84s
Epoch 63: Current Alpha: 1.4458, Tau: 2.9154, Alive(hard): 0.265, guards=0, time=0.86s
Epoch 64: Current Alpha: 1.4441, Tau: 2.9127, Alive(hard): 0.264, guards=0, time=0.84s
Epoch 65: Current Alpha: 1.4423, Tau: 2.9099, Alive(hard): 0.265, guards=0, time=0.84s
Epoch 66: Current Alpha: 1.4405, Tau: 2.9071, Alive(hard): 0.262, guards=0, time=0.85s
Epoch 67: Current Alpha: 1.4387, Tau: 2.9043, Alive(hard): 0.264, guards=0, time=0.84s
Epoch 68: Current Alpha: 1.4369, Tau: 2.9014, Alive(hard): 0.265, guards=0, time=0.84s
Epoch 69: Current Alpha: 1.4350, Tau: 2.8985, Alive(hard): 0.265, guards=0, time=0.84s
Epoch 70: Current Alpha: 1.4331, Tau: 2.8955, Alive(hard): 0.265, guards=0, time=0.85s
Epoch 71: Current Alpha: 1.4312, Tau: 2.8925, Alive(hard): 0.265, guards=0, time=0.84s
Epoch 72: Current Alpha: 1.4293, Tau: 2.8895, Alive(hard): 0.264, guards=0, time=0.84s
Epoch 73: Current Alpha: 1.4273, Tau: 2.8864, Alive(hard): 0.264, guards=0, time=0.85s
Epoch 74: Current Alpha: 1.4253, Tau: 2.8833, Alive(hard): 0.263, guards=0, time=0.85s
Epoch 75: Current Alpha: 1.4233, Tau: 2.8801, Alive(hard): 0.263, guards=0, time=0.85s
Epoch 76: Current Alpha: 1.4212, Tau: 2.8769, Alive(hard): 0.264, guards=0, time=0.85s
Epoch 77: Current Alpha: 1.4191, Tau: 2.8737, Alive(hard): 0.265, guards=0, time=0.84s
Epoch 78: Current Alpha: 1.4170, Tau: 2.8704, Alive(hard): 0.265, guards=0, time=0.85s
Epoch 79: Current Alpha: 1.4149, Tau: 2.8671, Alive(hard): 0.265, guards=0, time=0.85s
Epoch 80: Current Alpha: 1.4128, Tau: 2.8637, Alive(hard): 0.264, guards=0, time=0.85s
Epoch 81: Current Alpha: 1.4106, Tau: 2.8603, Alive(hard): 0.265, guards=0, time=0.87s
Epoch 82: Current Alpha: 1.4084, Tau: 2.8569, Alive(hard): 0.266, guards=0, time=0.87s
Epoch 83: Current Alpha: 1.4062, Tau: 2.8534, Alive(hard): 0.266, guards=0, time=0.86s
Epoch 84: Current Alpha: 1.4039, Tau: 2.8499, Alive(hard): 0.265, guards=0, time=0.86s
Epoch 85: Current Alpha: 1.4016, Tau: 2.8463, Alive(hard): 0.267, guards=0, time=0.87s
Epoch 86: Current Alpha: 1.3993, Tau: 2.8427, Alive(hard): 0.266, guards=0, time=0.85s
Epoch 87: Current Alpha: 1.3970, Tau: 2.8391, Alive(hard): 0.269, guards=0, time=0.85s
Epoch 88: Current Alpha: 1.3947, Tau: 2.8354, Alive(hard): 0.269, guards=0, time=0.86s
Epoch 89: Current Alpha: 1.3923, Tau: 2.8317, Alive(hard): 0.269, guards=0, time=0.85s
Epoch 90: Current Alpha: 1.3899, Tau: 2.8280, Alive(hard): 0.270, guards=0, time=0.85s
Epoch 91: Current Alpha: 1.3875, Tau: 2.8242, Alive(hard): 0.273, guards=0, time=0.87s
Epoch 92: Current Alpha: 1.3850, Tau: 2.8204, Alive(hard): 0.271, guards=0, time=0.86s
Epoch 93: Current Alpha: 1.3826, Tau: 2.8165, Alive(hard): 0.272, guards=0, time=0.85s
Epoch 94: Current Alpha: 1.3801, Tau: 2.8126, Alive(hard): 0.272, guards=0, time=0.86s
Epoch 95: Current Alpha: 1.3776, Tau: 2.8087, Alive(hard): 0.271, guards=0, time=0.87s
Epoch 96: Current Alpha: 1.3750, Tau: 2.8047, Alive(hard): 0.271, guards=0, time=0.87s
Epoch 97: Current Alpha: 1.3724, Tau: 2.8007, Alive(hard): 0.271, guards=0, time=0.86s
Epoch 98: Current Alpha: 1.3699, Tau: 2.7967, Alive(hard): 0.272, guards=0, time=0.87s
Epoch 99: Current Alpha: 1.3673, Tau: 2.7926, Alive(hard): 0.271, guards=0, time=0.87s
Epoch 100: Current Alpha: 1.3646, Tau: 2.7885, Alive(hard): 0.271, guards=0, time=0.88s
Epoch 101: Current Alpha: 1.3620, Tau: 2.7843, Alive(hard): 0.272, guards=0, time=0.88s
Epoch 102: Current Alpha: 1.3593, Tau: 2.7801, Alive(hard): 0.272, guards=0, time=0.85s
Epoch 103: Current Alpha: 1.3566, Tau: 2.7759, Alive(hard): 0.272, guards=0, time=0.86s
Epoch 104: Current Alpha: 1.3538, Tau: 2.7716, Alive(hard): 0.271, guards=0, time=0.85s
Epoch 105: Current Alpha: 1.3511, Tau: 2.7673, Alive(hard): 0.273, guards=0, time=0.85s
Epoch 106: Current Alpha: 1.3483, Tau: 2.7630, Alive(hard): 0.274, guards=0, time=0.88s
Epoch 107: Current Alpha: 1.3455, Tau: 2.7586, Alive(hard): 0.275, guards=0, time=0.84s
Epoch 108: Current Alpha: 1.3427, Tau: 2.7542, Alive(hard): 0.273, guards=0, time=0.86s
Epoch 109: Current Alpha: 1.3399, Tau: 2.7498, Alive(hard): 0.273, guards=0, time=0.87s
Epoch 110: Current Alpha: 1.3370, Tau: 2.7453, Alive(hard): 0.273, guards=0, time=0.87s
Epoch 111: Current Alpha: 1.3341, Tau: 2.7408, Alive(hard): 0.274, guards=0, time=0.86s
Epoch 112: Current Alpha: 1.3312, Tau: 2.7363, Alive(hard): 0.272, guards=0, time=0.85s
Epoch 113: Current Alpha: 1.3283, Tau: 2.7317, Alive(hard): 0.272, guards=0, time=0.87s
Epoch 114: Current Alpha: 1.3254, Tau: 2.7271, Alive(hard): 0.270, guards=0, time=0.85s
Epoch 115: Current Alpha: 1.3224, Tau: 2.7225, Alive(hard): 0.273, guards=0, time=0.85s
Epoch 116: Current Alpha: 1.3194, Tau: 2.7178, Alive(hard): 0.273, guards=0, time=0.87s
Epoch 117: Current Alpha: 1.3164, Tau: 2.7131, Alive(hard): 0.273, guards=0, time=0.86s
Epoch 118: Current Alpha: 1.3133, Tau: 2.7083, Alive(hard): 0.272, guards=0, time=0.87s
Epoch 119: Current Alpha: 1.3103, Tau: 2.7036, Alive(hard): 0.273, guards=0, time=0.87s
Epoch 120: Current Alpha: 1.3072, Tau: 2.6988, Alive(hard): 0.272, guards=0, time=0.86s
Epoch 121: Current Alpha: 1.3041, Tau: 2.6939, Alive(hard): 0.272, guards=0, time=0.86s
Epoch 122: Current Alpha: 1.3010, Tau: 2.6891, Alive(hard): 0.271, guards=0, time=0.85s
Epoch 123: Current Alpha: 1.2979, Tau: 2.6841, Alive(hard): 0.270, guards=0, time=0.82s
