Per-epoch status lines (alpha/tau/alive_hard/guards/time):
Epoch 52: Current Alpha: 1.4632, Tau: 2.9425, Alive(hard): 0.414, guards=0, time=1.34s
Epoch 53: Current Alpha: 1.4618, Tau: 2.9402, Alive(hard): 0.418, guards=0, time=1.33s
Epoch 54: Current Alpha: 1.4603, Tau: 2.9380, Alive(hard): 0.413, guards=0, time=1.34s
Epoch 55: Current Alpha: 1.4588, Tau: 2.9356, Alive(hard): 0.413, guards=0, time=1.32s
Epoch 56: Current Alpha: 1.4573, Tau: 2.9332, Alive(hard): 0.415, guards=0, time=1.33s
Epoch 57: Current Alpha: 1.4557, Tau: 2.9308, Alive(hard): 0.416, guards=0, time=1.37s
Epoch 58: Current Alpha: 1.4541, Tau: 2.9283, Alive(hard): 0.417, guards=0, time=1.37s
Epoch 59: Current Alpha: 1.4525, Tau: 2.9258, Alive(hard): 0.416, guards=0, time=1.34s
Epoch 60: Current Alpha: 1.4509, Tau: 2.9233, Alive(hard): 0.416, guards=0, time=1.26s
Epoch 61: Current Alpha: 1.4492, Tau: 2.9207, Alive(hard): 0.417, guards=0, time=1.36s
Epoch 62: Current Alpha: 1.4476, Tau: 2.9181, Alive(hard): 0.417, guards=0, time=1.39s
Epoch 63: Current Alpha: 1.4458, Tau: 2.9154, Alive(hard): 0.417, guards=0, time=1.31s
Epoch 64: Current Alpha: 1.4441, Tau: 2.9127, Alive(hard): 0.414, guards=0, time=1.34s
Epoch 65: Current Alpha: 1.4423, Tau: 2.9099, Alive(hard): 0.417, guards=0, time=1.35s
Epoch 66: Current Alpha: 1.4405, Tau: 2.9071, Alive(hard): 0.413, guards=0, time=1.35s
Epoch 67: Current Alpha: 1.4387, Tau: 2.9043, Alive(hard): 0.411, guards=0, time=1.35s
Epoch 68: Current Alpha: 1.4369, Tau: 2.9014, Alive(hard): 0.410, guards=0, time=1.34s
Epoch 69: Current Alpha: 1.4350, Tau: 2.8985, Alive(hard): 0.411, guards=0, time=1.34s
Epoch 70: Current Alpha: 1.4331, Tau: 2.8955, Alive(hard): 0.409, guards=0, time=1.35s
