epoch,train_loss,val_loss,train_acc,val_acc,alpha,tau,alive_hard,guards,epoch_time_sec
1,1.9151760023467395,1.9402307271957397,19.51530612244898,21.428571428571427,1.5,3.0,0.44854362805684406,0,1.9831783771514893
2,1.8052672026108723,2.104505113192967,35.84183673469388,24.489795918367346,1.4999857307968705,2.99997770437011,0.44595027963320416,0,1.3799667358398438
3,1.7605716768576174,2.2248368433543613,35.33163265306123,18.367346938775512,1.4999429237530661,2.9999108183641656,0.4468529721101125,0,1.3619017601013184
4,1.6762242803768235,2.2564380509512767,42.984693877551024,17.346938775510203,1.4998715805653158,2.9997993446333058,0.4467354118824005,0,1.3585927486419678
5,1.6683394008753252,2.793538740703038,41.07142857142857,11.224489795918368,1.499771704061426,2.999643287595978,0.4459567169348399,0,1.3740932941436768
6,1.6270228600015446,2.816202027457101,40.68877551020408,11.224489795918368,1.4996432982001695,2.999442653437765,0.4504944086074829,0,1.3477795124053955
7,1.5841986962727137,2.8428757190704346,43.75,21.428571428571427,1.4994863680711275,2.9991974501111365,0.44495636224746704,0,1.3351635932922363
8,1.5168058020727975,2.413637229374477,47.95918367346939,23.46938775510204,1.4993009198944889,2.9989076873351386,0.43320833643277484,0,1.3609106540679932
9,1.49289756161826,2.5703492164611816,47.95918367346939,21.428571428571427,1.4990869610208026,2.9985733765950044,0.43634699781735736,0,1.3652403354644775
10,1.467402140704953,2.7681686537606374,48.08673469387755,21.428571428571427,1.4988444999306874,2.998194531141699,0.43661513924598694,0,1.347254991531372
11,1.4484368453220444,3.2485784121922086,49.48979591836735,21.428571428571427,1.4985735462344942,2.9977711659913973,0.4271065394083659,0,1.3729133605957031
12,1.406440057316605,4.584657873426165,51.91326530612245,21.428571428571427,1.4982741106719273,2.9973032979248866,0.4297773043314616,0,1.3511693477630615
13,1.3989243507385254,3.313793591090611,49.36224489795919,21.428571428571427,1.4979462051116164,2.9967909454869006,0.43340500195821124,0,1.3024201393127441
14,1.404027790439372,3.932950905391148,52.67857142857143,21.428571428571427,1.4975898425506482,2.996234128985388,0.4296689530213674,0,1.355642318725586
15,1.3133581548321003,4.833699839455741,55.994897959183675,21.428571428571427,1.4972050371140495,2.9956328704907023,0.42827333013216656,0,1.3237273693084717
16,1.2726182171276637,3.4624552726745605,57.142857142857146,21.428571428571427,1.4967918040542287,2.9949871938347323,0.4312606354554494,0,1.3564026355743408
17,1.2863588722384707,5.080476794924055,56.76020408163265,21.428571428571427,1.4963501597503703,2.9942971246099535,0.42621739705403644,0,1.3485093116760254
18,1.2685477502492009,4.215402603149414,56.76020408163265,21.428571428571427,1.4958801217077862,2.9935626901684156,0.42792844772338867,0,1.3348212242126465
19,1.2469625266230837,3.3063570771898543,57.27040816326531,21.428571428571427,1.4953817085572216,2.992783919620659,0.4274226824442546,0,1.3557672500610352
